Kategorie;Schwierigkeit;Frage;Lösung;Antwortmöglichkeiten
Geschichten und Geschichte;100;Wann wurde die Jugendfeuerwehr der Abteilung Birkach gegründet?;1981;
Geschichten und Geschichte;200;Was ist beim Ausfahren von Weihnachtsbäumen mit dem MTW stets zu kontrollieren?;Dass der Anhänger überhaupt angehängt ist;A. Die Farbe der Tannenbäume|B. Das Wetter|C. Die Neigung des Fernsehturms|D. Dass der Anhänger überhaupt angehängt ist
Geschichten und Geschichte;300;Ordne die folgenden Nachnamen absteigend nach der Anzahl der Mitglieder in der FF Birkach: Hofsäss, Rometsch, Bender, Dengler;Bender (5), Dengler (3), Hofsäss (2), Rometsch (1);
Geschichten und Geschichte;400;Welcher Maischerz wurde dem Birkacher Feuerwehrhaus in der Törlesäckersstraße zum Verhängnis?;Es wurde optisch zum Postamt umgestaltet;A Die Stromversorgung wurde abgestellt|B Es wurde optisch zum Postamt umgestaltet|C Es wurde eine Wagenladung Zuckerrüben auf den Hof gekippt|D Der Alarmgong in der Halle wurde durch Eiswagen-Musik ersetzt
Ausrüstung und Technik;100;Wie viele unserer Fahrzeuge führen min. 2 Atemschutzgeräte mit?;4;
Ausrüstung und Technik;200;Wieviel Liter fasst der Löschwassertank des LF 8/6?;920 Liter;
Ausrüstung und Technik;300;Wie viele Patienten können mit dem Abrollbehälter MANV maximal versorgt werden (Behandlungsplatz)?;50 Patienten;
Ausrüstung und Technik;400;Was ist die Summe der zulässigen Gesamtmassen aller unserer Einsatzfahrzeuge?;36 t;A 21 t|B 36 t|C 34 t|D 42 t
Einsätze und Übungen;100;Welches Mitglied wurde schon mal zu einer Übung mit LF und Steckleiter abgeholt?;Ralph Wallner;
Einsätze und Übungen;200;Welches Hindernis musste überwunden werden, um bei einem HFS-Einsatz in ausländisches Territorium einzudringen?;Ein Zaun vor dem Speichersee auf dem Gelände der US Army in Böblingen;
Einsätze und Übungen;300;Wie oft waren wir 2025 zu Einsätzen in der Schönberger Flüchtlingsunterkunft?;38 mal;
Einsätze und Übungen;400;Mit welchem Werkzeug wurde durch die FF Birkach mal eine nächtliche BMA Durchsage beendet, um den Nachbarn ihren Schlaf zu gönnen?;Seitenschneider;A Hydraulischer Spreizer|B iPhone|C Feuerwehraxt|D Seitenschneider
Es weihnachtet sehr;100;Wie feiert der sparsame Schwabe den 2. Advent?;Er stellt sich mit einer Kerze vor den Spiegel;
Es weihnachtet sehr;200;Welche Weihnachtslieder sind hier als Emojis dargestellt?;Stille Nacht / Leise rieselt der Schnee / Oh Tannenbaum;1. 🤫🌌😇🌌|2. 🤫🌨️❄️|3. 😮🌲
Es weihnachtet sehr;300;Welches Weihnachtslied ist laut Guinness-Buch der Rekorde das meistverkaufte weltweit?;White Christmas;Last Christmas|White Christmas|Jingle Bells|Stille Nacht
Es weihnachtet sehr;400;Wie viele Nadeln hat ein durchschnittlicher (1.70m großer) Weihnachtsbaum?;180.000;180.000|550.000|70.000|800.000
